producer,consumer,dequeue_path,enqueue_path,atomics_control,other_code,backoff_spin,buffer_access,Other
1,1,45.5100,43.0300,6.9900,3.4300,0.0000,0.9900,0.0500
1,2,59.8200,23.4500,7.3500,2.9500,1.3900,1.6500,3.3900
1,3,70.3000,15.3400,4.3500,4.0200,1.0300,1.1700,3.7900
1,4,74.2200,13.5100,4.1200,3.7300,1.4700,1.3200,1.6300
1,5,73.4900,9.9700,4.1600,5.1200,2.2200,1.4800,3.5600
1,6,79.5000,6.1500,3.9200,6.2500,2.2400,1.2100,0.7300
1,7,81.1000,5.4600,3.4400,5.9800,2.1900,1.2800,0.5500
1,8,77.7100,8.4000,3.8000,5.2200,1.8100,1.4100,1.6500
1,9,81.5200,5.4300,3.5500,5.8200,1.8900,1.2900,0.5000
1,10,79.5600,6.7500,3.8100,5.4800,2.0100,1.5600,0.8300
1,11,81.8200,4.9400,3.6600,5.8200,2.1600,1.4200,0.1800
1,12,78.0800,7.9400,3.8400,5.9300,1.8400,1.3500,1.0200
2,1,28.7100,58.4000,7.5800,2.5800,0.6100,1.7900,0.3300
2,2,45.0800,45.6200,4.8700,2.1500,0.8500,1.2100,0.2200
2,3,53.6200,32.5500,4.2700,3.3000,3.3400,1.6300,1.2900
2,4,61.1000,27.0600,4.0400,3.6300,1.7900,1.5200,0.8600
2,5,62.3800,24.9300,4.4600,4.2700,2.0100,1.1800,0.7700
2,6,73.9400,11.9400,3.7500,5.6300,2.0700,1.2000,1.4700
2,7,71.3300,15.8600,3.9000,4.6800,2.1700,1.0500,1.0100
2,8,72.9400,13.0100,4.0300,5.3900,2.3800,1.5300,0.7200
2,9,75.3300,11.7900,3.8300,5.6200,1.8600,1.2400,0.3300
2,10,76.7700,10.5700,3.5700,5.4600,2.2400,1.1800,0.2100
2,11,77.9400,7.7500,4.2400,6.3000,1.9500,1.3600,0.4600
2,12,77.9300,10.4400,3.6300,4.8100,1.7900,1.2700,0.1300
3,1,16.2400,71.3600,4.2200,2.0200,1.3700,0.9900,3.8000
3,2,31.5400,55.9000,3.6200,2.6700,3.0000,1.4500,1.8200
3,3,44.0200,45.8300,3.9100,2.6500,1.8500,1.3800,0.3600
3,4,63.5900,24.3300,4.2900,3.2000,2.5100,1.2300,0.8500
3,5,61.7500,23.3000,4.1300,4.8700,3.4100,1.4800,1.0600
3,6,62.5700,23.9700,4.2700,3.8100,2.6800,1.8100,0.8900
3,7,68.6100,18.3500,4.6700,3.9600,2.2800,1.1600,0.9700
3,8,71.2700,16.4900,3.9900,4.2900,2.3000,1.1900,0.4700
3,9,73.1200,13.1500,4.2300,5.0900,2.1500,1.2900,0.9700
3,10,76.2100,9.9500,4.3000,5.4300,2.2500,1.5600,0.3000
3,11,71.7500,15.2500,4.1400,4.7000,1.9400,1.4500,0.7700
3,12,72.6400,13.2900,4.2000,5.1800,2.4400,1.6600,0.5900
4,1,13.4900,75.4400,3.4900,1.8400,2.2600,1.0100,2.4700
4,2,27.5000,62.8400,3.4000,2.0400,1.9700,1.3400,0.9100
4,3,29.7100,57.4300,4.7600,2.7800,2.3700,1.4800,1.4700
4,4,38.1500,52.1300,3.5300,2.3300,1.7700,1.5300,0.5600
4,5,57.2600,30.0100,4.5500,3.4300,2.1500,1.4200,1.1800
4,6,50.3900,37.6100,3.8800,3.5200,2.3100,1.4300,0.8600
4,7,53.6400,30.8400,5.9800,4.4200,2.2000,1.5000,1.4200
4,8,65.9200,19.7200,4.9900,5.0600,2.4600,1.1300,0.7200
4,9,72.4300,14.3400,4.2700,4.8300,2.1900,1.4600,0.4800
4,10,69.7300,17.5400,3.8800,4.5700,1.9100,1.5800,0.7900
4,11,72.5100,13.3200,4.1500,5.6400,2.8200,1.3400,0.2200
4,12,61.7600,23.8300,4.5500,4.6800,2.5900,1.3400,1.2500
5,1,9.3900,80.6100,2.7700,1.7000,2.0700,1.1400,2.3200
5,2,13.3700,75.9500,3.6600,1.3700,1.7800,1.2900,2.5800
5,3,8.2600,82.4700,3.0200,1.5400,2.3400,1.3700,1.0000
5,4,10.2900,80.3800,3.1500,1.7200,2.1300,1.4400,0.8900
5,5,37.9300,50.7200,3.5300,2.5200,2.5500,1.6800,1.0700
5,6,29.1800,59.4600,4.1500,2.4600,2.0900,1.7600,0.9000
5,7,51.2600,35.6400,4.4200,3.7500,2.3900,1.5700,0.9700
5,8,46.7100,39.7900,4.5600,3.0900,2.5200,1.7300,1.6000
5,9,66.4600,19.4500,4.2800,5.0100,2.6600,1.5100,0.6300
5,10,60.3400,27.1100,3.6700,4.0900,2.2100,1.5400,1.0400
5,11,62.5500,24.9700,3.9500,4.5300,1.8300,1.4100,0.7600
5,12,17.7100,70.8600,4.2200,2.6700,2.2800,1.5300,0.7300
6,1,6.9500,83.3600,3.6600,1.9000,1.9000,1.2600,0.9700
6,2,10.9200,78.7100,3.3200,1.7200,1.7700,1.3600,2.2000
6,3,16.8800,71.9000,3.8800,2.3300,2.5800,1.3800,1.0500
6,4,19.8100,68.8900,4.7900,2.3500,2.1600,1.3900,0.6100
6,5,23.2000,63.0300,4.6100,2.7300,3.5800,1.7100,1.1400
6,6,51.4600,35.3100,4.1300,4.4500,2.1800,1.7900,0.6800
6,7,34.7200,51.6300,4.4700,3.3600,3.1600,1.8700,0.7900
6,8,59.9900,26.5900,4.4900,4.7700,2.1400,1.4600,0.5600
6,9,44.4500,42.9700,4.2600,3.5200,2.1900,1.3300,1.2800
6,10,59.8700,26.7900,3.7300,4.7000,2.5700,1.4500,0.8900
6,11,62.7800,24.3000,3.5000,5.1900,2.5100,1.3100,0.4100
6,12,60.9500,25.9100,4.2600,4.5800,2.2400,1.5200,0.5400
7,1,7.0500,82.3400,4.1900,1.8900,2.3400,1.1300,1.0600
7,2,9.2700,80.7200,3.1600,2.3300,1.9700,1.6200,0.9300
7,3,17.1100,72.7300,3.8000,1.9700,1.9300,1.2000,1.2600
7,4,13.8400,75.6600,3.7700,2.1200,2.5500,1.3500,0.7100
7,5,22.5800,66.6100,4.0400,2.3500,2.2700,1.4100,0.7400
7,6,14.8400,73.5900,4.1500,2.2400,2.6800,1.7100,0.7900
7,7,54.8000,32.5800,3.9100,4.3300,2.0100,1.5800,0.7900
7,8,48.3200,39.3700,3.9500,3.5800,2.1900,1.8500,0.7400
7,9,23.7400,64.3200,3.8200,2.8600,3.0100,1.6700,0.5800
7,10,39.9800,47.3800,3.7000,3.9400,2.4500,1.5500,1.0000
7,11,73.4300,12.9700,4.1200,5.5600,2.1300,1.3500,0.4400
7,12,49.1600,38.2600,4.1400,3.4800,2.3000,1.6800,0.9800
8,1,5.8700,85.3300,3.3700,1.9000,1.9800,1.3100,0.2400
8,2,9.6000,80.1400,3.2500,2.0600,2.4500,1.3900,1.1100
8,3,9.0500,81.0900,3.8100,1.8600,2.5200,1.3800,0.2900
8,4,10.0800,79.5100,4.0600,2.1100,2.5500,1.4800,0.2100
8,5,13.3800,74.4100,4.2500,2.4800,2.5500,2.1500,0.7800
8,6,25.6600,63.9400,3.7600,2.1100,2.4300,1.2700,0.8300
8,7,38.8800,50.5400,3.9100,2.8500,2.2200,1.3800,0.2200
8,8,43.9200,44.4900,4.8200,3.2700,1.8700,1.2900,0.3400
8,9,14.4600,73.7000,4.3200,2.4000,2.6700,2.0200,0.4300
8,10,16.0400,72.4400,3.7300,2.5600,2.8100,1.7300,0.6900
8,11,42.7200,45.0700,4.4300,3.2800,2.2000,1.4600,0.8400
8,12,54.5500,32.9200,3.7000,4.5600,2.3300,1.3500,0.5900
9,1,5.6400,84.6800,3.3100,1.7700,1.8000,1.6100,1.1900
9,2,4.5800,86.5200,3.5900,1.7400,2.0200,1.1800,0.3700
9,3,5.2000,85.3400,3.3800,1.9800,2.1600,1.4300,0.5100
9,4,12.6100,75.6500,3.9900,2.3400,2.3800,1.2200,1.8100
9,5,12.7500,77.2600,3.5300,2.3100,2.2400,1.4000,0.5100
9,6,17.4300,71.6800,3.7800,2.5400,2.6500,1.3300,0.5900
9,7,24.2000,65.2900,3.4200,2.3000,2.5800,1.5400,0.6700
9,8,31.6800,57.2000,3.9500,2.9300,2.5900,1.3200,0.3300
9,9,34.2100,54.7800,3.6000,2.5900,2.3800,1.5900,0.8500
9,10,36.4500,51.6800,3.8400,3.2100,2.6700,1.6000,0.5500
9,11,13.9300,73.8900,4.8900,2.1400,2.7400,2.0200,0.3900
9,12,51.5800,37.1900,3.2600,3.9100,2.1500,1.6100,0.3000
10,1,4.0200,86.2800,3.1800,2.3600,2.3500,1.6200,0.1900
10,2,9.0000,82.2100,3.1900,1.7800,2.0300,1.6200,0.1700
10,3,10.3600,79.9000,4.0100,1.8500,2.0800,1.4000,0.4000
10,4,16.0000,74.2900,3.4400,1.9000,2.2300,1.4200,0.7200
10,5,18.0100,72.0500,3.4100,2.1800,2.3300,1.5600,0.4600
10,6,26.1400,62.4300,4.3600,2.9200,2.1600,1.4800,0.5100
10,7,37.4500,50.2600,4.1500,3.1400,2.2300,1.6500,1.1200
10,8,30.6600,57.9000,4.3900,2.8600,2.3300,1.4300,0.4300
10,9,26.8800,61.4200,4.5200,2.5200,2.3100,1.8600,0.4900
10,10,17.0100,71.4600,3.6300,2.3700,2.9700,2.0100,0.5500
10,11,31.4900,57.2200,4.1000,2.9800,2.4000,1.3500,0.4600
10,12,49.1700,38.4400,3.8400,3.3300,2.7000,1.3400,1.1800
11,1,5.2600,86.1400,2.9300,2.0400,1.9200,1.3500,0.3600
11,2,6.7300,83.7400,3.4000,2.0900,2.0700,1.9300,0.0400
11,3,7.7000,81.1900,3.9100,2.0000,2.6300,1.6700,0.9000
11,4,9.9400,81.3800,2.9600,2.0900,1.8800,1.6100,0.1400
11,5,14.1900,76.3800,3.6600,1.8100,2.3200,1.4500,0.1900
11,6,16.8900,73.1000,3.9300,2.4200,2.0900,1.2200,0.3500
11,7,17.8200,72.4200,3.2300,2.2000,2.5400,1.5900,0.2000
11,8,21.0600,68.8700,3.8300,2.0200,2.4800,1.4600,0.2800
11,9,40.3600,47.7700,4.0300,3.5200,2.1000,1.6400,0.5800
11,10,26.4400,62.1800,4.4600,2.4100,2.5000,1.2300,0.7800
11,11,31.7500,56.7800,4.3400,2.7600,2.1800,1.2500,0.9400
11,12,46.9700,40.5900,3.8800,3.9000,2.1200,1.7800,0.7600
12,1,5.3300,86.1800,3.2900,1.6100,2.0500,1.3300,0.2100
12,2,5.0600,85.7500,3.3200,1.9200,2.2200,1.5300,0.2000
12,3,8.9800,80.9000,3.3900,2.2700,2.2500,1.8000,0.4100
12,4,8.8300,81.7200,3.2400,1.8700,2.3100,1.7300,0.3000
12,5,21.0400,67.6200,4.0700,2.7500,2.2100,1.6600,0.6500
12,6,11.7600,77.5700,4.0700,2.4800,2.2600,1.6600,0.2000
12,7,17.5500,71.8300,3.8600,2.0200,2.3700,1.3700,1.0000
12,8,22.6000,66.3300,4.3800,2.0900,2.5600,1.4200,0.6200
12,9,37.1100,51.2600,3.4300,3.4000,2.5800,1.5800,0.6400
12,10,35.9100,51.0700,5.0000,3.5900,2.2400,1.5600,0.6300
12,11,22.3000,66.4500,4.4400,1.9600,2.6500,1.6600,0.5400
12,12,44.9600,43.1800,3.7000,3.5100,2.3800,1.3400,0.9300
